Ticker,MarketCap_KRW,Sector
000100.KS,8239006089216.0,Healthcare
000270.KS,79451132002304.0,Consumer Cyclical
000660.KS,732573042999296.0,Technology
000720.KS,18514001788928.0,Industrials
000810.KS,22530043674624.0,Financial Services
001040.KS,7326509563904.0,Industrials
001120.KS,1532232728576.0,Industrials
001570.KS,632041439232.0,Basic Materials
001800.KS,1434736132096.0,Consumer Defensive
003490.KS,10378211753984.0,Industrials
003550.KS,16607684329472.0,Technology
003670.KS,21969707728896.0,Industrials
004020.KS,6116876484608.0,Basic Materials
005070.KS,1897941303296.0,Basic Materials
005380.KS,175439918137344.0,Consumer Cyclical
005490.KS,31231381078016.0,Basic Materials
005830.KS,10993958649856.0,Financial Services
005930.KS,1447536988520448.0,Technology
006260.KS,7890580013056.0,Industrials
006400.KS,36671231885312.0,Industrials
008770.KS,1815079682048.0,Consumer Cyclical
008930.KS,2952317370368.0,Healthcare
009150.KS,33882940375040.0,Technology
009540.KS,31821584662528.0,Industrials
009830.KS,9110323986432.0,Technology
010060.KS,2837875261440.0,Financial Services
010130.KS,36912538583040.0,Basic Materials
010140.KS,24727653449728.0,Industrials
010950.KS,12806270222336.0,Energy
011070.KS,7548978069504.0,Technology
011200.KS,20138130669568.0,Industrials
011780.KS,3985982357504.0,Basic Materials
012330.KS,46163260604416.0,Consumer Cyclical
012450.KS,61481303408640.0,Industrials
015760.KS,37554900434944.0,Utilities
017670.KS,16995985653760.0,Communication Services
018260.KS,15083285512192.0,Technology
024110.KS,20533716451328.0,Financial Services
028260.KS,57354125049856.0,Industrials
028670.KS,2822526992384.0,Industrials
030200.KS,15384249892864.0,Communication Services
032830.KS,41302200680448.0,Financial Services
034020.KS,68081447600128.0,Industrials
034220.KS,7170000158720.0,Technology
034730.KS,21863323402240.0,Industrials
035250.KS,3817728114688.0,Consumer Cyclical
035420.KQ,39918996371000.0,Technology
035720.KQ,25626868235100.0,Technology
035900.KQ,2312687583232.0,Communication Services
036570.KQ,4998213104000.0,Technology
042660.KS,43263281070080.0,Industrials
042700.KS,30684945055744.0,Technology
047050.KS,12306091081728.0,Industrials
047810.KS,18666481516544.0,Industrials
051900.KS,4473863798784.0,Consumer Defensive
051910.KS,32679856701440.0,Basic Materials
055550.KS,45994007855104.0,Financial Services
064350.KS,25157299077120.0,Industrials
066570.KS,26235606401024.0,Technology
067630.KQ,473376129024.0,Healthcare
068270.KQ,55913679162000.0,Healthcare
068760.KQ,3180358270976.0,Healthcare
086280.KS,21712500424704.0,Industrials
086520.KQ,24860870836224.0,Industrials
086790.KS,33371474362368.0,Financial Services
090430.KS,10444463931392.0,Consumer Defensive
096770.KS,21340121726976.0,Energy
097950.KS,3428961222656.0,Consumer Defensive
105560.KS,57015447584768.0,Financial Services
112610.KS,2225257054208.0,Industrials
128940.KS,7519366807552.0,Healthcare
138040.KS,21650655412224.0,Financial Services
139480.KS,2812777070592.0,Consumer Defensive
161390.KS,8892980396032.0,Consumer Cyclical
196170.KQ,21793947516928.0,Healthcare
207940.KS,82305313931264.0,Healthcare
241560.KS,6221396967424.0,Industrials
247540.KQ,21647079768064.0,Industrials
251270.KQ,4925135664600.0,Technology
259960.KQ,12348697975500.0,Technology
263750.KQ,3292080373760.0,Communication Services
267250.KS,20670515773440.0,Energy
293490.KQ,1199841869824.0,Communication Services
307950.KQ,11902008188000.0,Technology
316140.KS,26315784716288.0,Financial Services
323410.KQ,13690228241900.0,Financial Services
326030.KQ,8755421350000.0,Healthcare
329180.KS,63291619540992.0,Industrials
352820.KQ,17151234772500.0,Communication Services
357120.KQ,443362537470.0,Basic Materials
361610.KQ,2171447505000.0,Technology
373220.KS,99918001733632.0,Industrials
377300.KQ,9109195598000.0,Financial Services
383220.KQ,2689156665000.0,Consumer Defensive
402340.KS,85060225073152.0,Technology
000120.KS,2632757018624.0,Industrials
000150.KS,22799408168960.0,Industrials
000210.KS,1169185308672.0,Basic Materials
000250.KQ,18513269882880.0,Unknown
000370.KS,879871459328.0,Financial Services
000400.KS,710953009152.0,Financial Services
000500.KS,1960359100416.0,Technology
000540.KS,337273880576.0,Financial Services
000650.KS,386018115584.0,Industrials
000880.KS,12154525712384.0,Industrials
000990.KS,3851694899200.0,Technology
001060.KS,835991502848.0,Healthcare
001200.KS,486747471872.0,Financial Services
001270.KS,803921199104.0,Financial Services
001430.KS,2478072397824.0,Basic Materials
001440.KS,6687813533696.0,Industrials
001450.KS,2693537988608.0,Financial Services
001500.KS,806921240576.0,Financial Services
001510.KS,879550660608.0,Financial Services
001720.KS,1738610573312.0,Financial Services
001740.KS,1115190722560.0,Industrials
001820.KS,553067872256.0,Technology
002020.KS,969293234176.0,Industrials
002310.KS,416166084608.0,Basic Materials
002380.KS,4787565232128.0,Basic Materials
002790.KS,2813543841792.0,Consumer Defensive
003000.KS,553508798464.0,Healthcare
003160.KS,936603680768.0,Technology
003230.KS,9106374000640.0,Consumer Defensive
003240.KS,1219523379200.0,Basic Materials
003280.KS,431515664384.0,Industrials
003470.KS,1066500751360.0,Financial Services
003530.KS,1848291229696.0,Financial Services
003540.KS,3049364389888.0,Financial Services
003570.KS,1323293605888.0,Industrials
003620.KS,818606505984.0,Consumer Cyclical
003690.KS,2459956674560.0,Financial Services
004170.KS,3230890459136.0,Consumer Cyclical
004310.KS,311537532928.0,Healthcare
004370.KS,2615535992832.0,Consumer Defensive
004800.KS,2825275047936.0,Industrials
004990.KS,2557253779456.0,Consumer Defensive
005090.KS,726124986368.0,Industrials
005290.KQ,2822655705088.0,Basic Materials
005300.KS,1398538371072.0,Consumer Defensive
005387.KS,110614584229888.0,Consumer Cyclical
005389.KS,108303497560064.0,Consumer Cyclical
005420.KS,654879621120.0,Basic Materials
005440.KS,2494468980736.0,Consumer Defensive
005690.KS,974465204224.0,Healthcare
005850.KS,3380471136256.0,Consumer Cyclical
005880.KS,700361670656.0,Industrials
005940.KS,13320143765504.0,Financial Services
006110.KS,458276175872.0,Basic Materials
006220.KS,602131005440.0,Financial Services
006280.KS,1929968353280.0,Healthcare
006360.KS,1901511311360.0,Industrials
006650.KS,1172841431040.0,Basic Materials
006730.KQ,996400300032.0,Consumer Cyclical
006800.KS,42068424523776.0,Financial Services
006910.KQ,551439106048.0,Unknown
007070.KS,1838443003904.0,Consumer Cyclical
007340.KS,1407933743104.0,Consumer Cyclical
007390.KQ,1273881034752.0,Unknown
007660.KS,9367016439808.0,Technology
007810.KS,1612042338304.0,Technology
009290.KS,349732274176.0,Consumer Defensive
009420.KS,3131574583296.0,Healthcare
009450.KS,929323548672.0,Industrials
009900.KS,599208886272.0,Consumer Cyclical
010120.KS,23379165839360.0,Industrials
010170.KQ,591603499008.0,Technology
010690.KS,539643281408.0,Consumer Cyclical
010780.KS,925923409920.0,Industrials
011170.KS,4043829411840.0,Basic Materials
011210.KS,2694351421440.0,Consumer Cyclical
011500.KS,411409154048.0,Basic Materials
011790.KS,3856564224000.0,Basic Materials
011930.KS,498736693248.0,Industrials
012030.KS,386836824064.0,Technology
012210.KQ,354019409920.0,Consumer Cyclical
012510.KS,3318594928640.0,Technology
012630.KS,1220216881152.0,Industrials
012750.KS,2968539103232.0,Industrials
014620.KQ,929507770368.0,Industrials
014680.KS,3673349947392.0,Basic Materials
015750.KQ,710325305344.0,Consumer Cyclical
016360.KS,9537240170496.0,Financial Services
016610.KS,627214516224.0,Financial Services
017800.KS,3563569807360.0,Industrials
017960.KS,2110408491008.0,Basic Materials
018290.KQ,599209017344.0,Industrials
018880.KS,4761248071680.0,Consumer Cyclical
020000.KS,510078615552.0,Consumer Cyclical
020150.KS,2340736204800.0,Industrials
021240.KS,5876809728000.0,Consumer Cyclical
022100.KS,5966624980992.0,Technology
023160.KQ,728162893824.0,Unknown
023530.KS,3044748034048.0,Consumer Cyclical
023590.KS,2343091044352.0,Technology
024850.KQ,381040164864.0,Technology
025320.KQ,621709492224.0,Technology
025980.KQ,790951690240.0,Unknown
027360.KQ,689125851136.0,Unknown
028050.KS,7134399954944.0,Industrials
028300.KQ,6796058558464.0,Healthcare
029780.KS,6722774106112.0,Financial Services
030000.KS,2223068151808.0,Communication Services
030530.KQ,2673405329408.0,Industrials
031330.KQ,513087045632.0,Technology
031980.KQ,2352457449472.0,Unknown
032190.KQ,1014950002688.0,Technology
032350.KS,1841339170816.0,Consumer Cyclical
032500.KQ,761922715648.0,Technology
032640.KS,7191709351936.0,Communication Services
032820.KQ,2756762402816.0,Unknown
033100.KQ,896282394624.0,Industrials
033240.KS,861198614528.0,Technology
033500.KQ,803704471552.0,Unknown
033780.KS,17188090019840.0,Consumer Defensive
034230.KS,1735535624192.0,Consumer Cyclical
034830.KS,346654572544.0,Real Estate
035420.KS,38043884978176.0,Communication Services
035720.KS,27404361793536.0,Communication Services
035810.KQ,523226251264.0,Consumer Defensive
036200.KQ,321517453312.0,Unknown
036460.KS,3595747721216.0,Utilities
036540.KQ,1295323496448.0,Technology
036570.KS,4479871614976.0,Communication Services
036620.KQ,543089623040.0,Unknown
036810.KQ,896886702080.0,Technology
037270.KS,443731902464.0,Communication Services
038500.KQ,1862584107008.0,Basic Materials
039130.KS,745065742336.0,Consumer Cyclical
039200.KQ,1935711928320.0,Unknown
039440.KQ,562218336256.0,Technology
039490.KS,12062156652544.0,Financial Services
041190.KQ,612845944832.0,Financial Services
041920.KQ,380093693952.0,Unknown
041960.KQ,644597219328.0,Unknown
042000.KQ,801506263040.0,Technology
042520.KQ,654543749120.0,Healthcare
043260.KQ,2191515320320.0,Unknown
044490.KQ,710261997568.0,Industrials
045100.KQ,545061928960.0,Unknown
045390.KQ,331224875008.0,Unknown
047040.KS,4166381207552.0,Industrials
048410.KQ,1505886863360.0,Healthcare
049630.KQ,413274800128.0,Technology
050890.KQ,503953653760.0,Unknown
