Name,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_KOSPI or KOSDAQ,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,Ticker,P,Promoted
더존비즈온,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,118500.0,33186.0,0.94,0.65,1.99,30,0.51,95.9,3.23,46.0,종목 21.7% vs KOSPI 6.9%,0.6,트리거: 119200.00 상향 돌파(20D High),119200.00 돌파+거래량 동반 시,SMA50(94732.00) 이탈 또는 Stop 110842.86,20D high 근접,,현재 Vol 0.51x,118500.0,110842.86,133760.71,0.0,0.0,52299411940,012510.KS,3,False
아이티센글로벌,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,60800.0,13575.0,1.5102749324180125,0.8423741383953062,1.98,41,1.89,65.2,8.4,22.3,종목 13.0% vs KOSDAQ -2.9%,1.9,트리거: 61400.00 상향 돌파(20D High) | 품질: close_not_confirm(need>61461.40),61400.00 위 '종가확인' + 거래량 유지 시,SMA50(41337.00) 이탈 또는 Stop 50585.71,"Vol 1.9x, MACD 상향크로스, RSI 65",CROSS_UP,"돌파 품질 미충족: close_not_confirm(need>61461.40) (Vol 1.89x, 기준 1.5x)",60800.0,50585.71,81063.93,0.0,0.0,19934853595,124500.KQ,3,False
유진테크,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,144900.0,32257.0,0.9374651760010027,0.6635154712332201,1.92,23,1.26,65.9,9.31,35.5,종목 30.5% vs KOSDAQ -2.9%,5.4,트리거: 143500.00 상향 돌파(20D High),143500.00 돌파+거래량 동반 시,SMA50(96596.00) 이탈 또는 Stop 117914.29,"Vol 1.3x (약), RSI 66",,현재 Vol 1.26x,144900.0,117914.29,196641.07,0.0,0.0,42818151510,084370.KQ,3,False
이마트,Consumer Defensive,WATCH_PULLBACK,WATCH_PULLBACK,91400.0,28128.0,1.46,0.57,3.3,5,0.43,38.0,8.14,56.0,종목 0.4% vs KOSPI 6.9%,33.0,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(92930.00) 이탈 또는 Stop 76528.57,,,RSI 38.0,91400.0,76528.57,140492.0,0.0,0.0,77735681235,139480.KS,4,False
현대무벡스,Financial Services,WATCH_PULLBACK,WATCH_PULLBACK,30950.0,37953.0,1.62,0.66,2.99,15,0.51,51.3,11.32,24.6,종목 -2.1% vs KOSDAQ -2.9%,38.6,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(27365.80) 이탈 또는 Stop 23942.86,RSI 51,,RSI 51.3,30950.0,23942.86,51912.0,0.0,0.0,112042164487,319400.KQ,4,False
유일로보틱스,Unknown,WATCH_PULLBACK,WATCH_PULLBACK,104000.0,12165.0,1.49,0.63,2.98,15,0.88,40.8,8.98,15.9,종목 -24.8% vs KOSDAQ -2.9%,32.9,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(105510.00) 이탈 또는 Stop 85328.57,RSI 41,,RSI 40.8,104000.0,85328.57,159650.0,0.0,0.0,17073416425,388720.KQ,4,False
하림,Consumer Defensive,WATCH_PULLBACK,WATCH_PULLBACK,3090.0,3334.0,1.71,0.69,2.93,15,0.65,43.3,2.82,51.0,종목 1.3% vs KOSDAQ -2.9%,20.9,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(3075.00) 이탈 또는 Stop 2915.71,RSI 43,,RSI 43.3,3090.0,2915.71,3599.85,12.0,37080.0,5532888082,136480.KQ,4,False
현대해상,Financial Services,WATCH_PULLBACK,WATCH_PULLBACK,30700.0,26935.0,1.48,0.66,2.77,15,0.68,49.8,8.76,59.8,종목 9.1% vs KOSPI 6.9%,30.6,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(30414.00) 이탈 또는 Stop 25321.43,RSI 50,,RSI 49.8,30700.0,25321.43,45577.5,0.0,0.0,37449741590,001450.KS,4,False
풍산,Industrials,WATCH_PULLBACK,WATCH_PULLBACK,118400.0,31630.0,2.1498823212372558,0.8536266453217495,2.69,36,2.45,56.1,7.16,24.3,종목 -9.8% vs KOSPI 6.9%,31.2,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(116070.00) 이탈 또는 Stop 101442.86,"Vol 2.4x (강함), MACD 완만개선, RSI 56",,RSI 56.1,118400.0,101442.86,163976.0,0.0,0.0,63508202855,103140.KS,4,False
BGF리테일,Consumer Defensive,WATCH_PULLBACK,WATCH_PULLBACK,115300.0,21559.0,1.34,0.65,2.6,15,0.91,42.7,5.41,53.6,종목 -5.0% vs KOSPI 6.9%,19.6,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(117758.00) 이탈 또는 Stop 102814.29,RSI 43,,RSI 42.7,115300.0,102814.29,147702.0,0.0,0.0,10527153960,282330.KS,4,False
아이쓰리시스템,Technology,WATCH_PULLBACK,WATCH_PULLBACK,98300.0,7498.0,1.24,0.63,2.54,13,1.28,34.0,8.74,24.0,종목 -24.4% vs KOSDAQ -2.9%,28.7,SMA50(98176.00) 눌림 후 반등(확인필요),98300.00 재돌파/거래량 동반 확인 후,SMA50(98176.00) 이탈 또는 Stop 81114.29,Vol 1.3x (약),,FILTER: close below SMA20 (no reclaim),98300.0,81114.29,142037.0,0.0,0.0,9699031880,214430.KQ,4,False
메리츠금융지주,Financial Services,WATCH_PULLBACK,WATCH_PULLBACK,115800.0,216507.0,1.37,0.68,2.47,15,1.01,46.3,6.72,51.5,종목 -0.7% vs KOSPI 6.9%,22.7,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(115736.00) 이탈 또는 Stop 100242.86,RSI 46,,RSI 46.3,115800.0,100242.86,154294.0,0.0,0.0,54840933590,138040.KS,4,False
