Ticker,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_SPY,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,P,Promoted
VLO,Energy,BUY_BREAKOUT,BUY_BREAKOUT,217.71,921777.0,1.51518332655235,0.861364152928887,1.92,37,1.85,70.2,3.23,44.5,종목 20.8% vs SPY -2.2%,1.9,20D High 216.18 돌파 + Vol 1.85x (기준 1.5x),217.71 위에서 분할(돌파 유지 시),SMA50(186.78) 이탈 또는 Stop 203.67,"Vol 1.8x, MACD 완만개선, RSI 70",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | MARKET CAUTION(참고): SPY<SMA200 (655.14),217.71,203.67,244.67,29.0,6314.0,589565804,0,False
BKSY,Industrials,BUY_PULLBACK,BUY_PULLBACK,22.72,11318.0,1.1532198767367592,0.7528740827750906,1.86,32,1.16,49.8,9.41,22.2,종목 6.1% vs SPY -2.2%,31.6,SMA50(22.74) 눌림 후 반등(필터 통과),22.72 부근 분할 또는 직전 고가 상향 시,SMA50(22.74) 이탈 또는 Stop 18.44,"MACD 상향크로스, RSI 50",CROSS_UP,RSI 49.8,22.72,18.44,30.68,97.0,2204.0,30526540,1,False
CSGS,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,79.81,33286.0,4.32,0.69,6.74,18,0.76,53.5,0.3,38.1,종목 0.0% vs SPY -2.2%,1.1,트리거: 80.67 상향 돌파(20D High),80.67 돌파+거래량 동반 시,SMA50(79.04) 이탈 또는 Stop 79.32,"MACD 완만개선, RSI 53",,현재 Vol 0.76x,79.81,79.32,83.09,853.0,68078.0,29344792,3,False
IT,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,164.78,177282.0,4.85,0.79,6.36,43,0.47,54.2,4.76,53.2,종목 -18.6% vs SPY -2.2%,67.0,트리거: 164.47 상향 돌파(20D High),164.47 돌파+거래량 동반 시,SMA50(205.49) 이탈 또는 Stop 149.08,"20D high 근접, MACD 완만개선, RSI 54",,현재 Vol 0.47x,164.78,149.08,264.61,26.0,4284.0,353451206,3,False
EXAS,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,103.37,287353.0,4.99,0.82,6.27,51,1.21,50.9,0.26,30.1,종목 0.8% vs SPY -2.2%,0.3,트리거: 103.67 상향 돌파(20D High),103.67 돌파+거래량 동반 시,SMA50(102.50) 이탈 또는 Stop 102.83,"20D high 근접, Vol 1.2x (약), MACD 완만개선, RSI 51",,현재 Vol 1.21x,103.37,102.83,106.78,763.0,78871.0,239231683,3,False
FOLD,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,14.34,65720.0,4.48,0.77,6.11,43,0.67,58.3,0.27,38.1,종목 0.3% vs SPY -2.2%,0.3,트리거: 14.37 상향 돌파(20D High),14.37 돌파+거래량 동반 시,SMA50(14.23) 이탈 또는 Stop 14.26,"20D high 근접, MACD 완만개선, RSI 58",,현재 Vol 0.67x,14.34,14.26,14.81,5379.0,77135.0,78596214,3,False
IOT,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,28.94,235681.0,3.65,0.68,5.83,18,0.79,54.9,5.92,29.6,종목 9.6% vs SPY -2.2%,40.5,트리거: 29.38 상향 돌파(20D High),29.38 돌파+거래량 동반 시,SMA50(31.03) 이탈 또는 Stop 25.51,"MACD 완만개선, RSI 55",,현재 Vol 0.79x,28.94,25.51,48.89,121.0,3502.0,246229128,3,False
HOLX,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,75.46,245254.0,3.79,0.76,5.3,40,0.77,61.7,0.29,18.5,종목 1.0% vs SPY -2.2%,0.0,트리거: 75.49 상향 돌파(20D High),75.49 돌파+거래량 동반 시,SMA50(74.98) 이탈 또는 Stop 75.03,"20D high 근접, RSI 62",,현재 Vol 0.77x,75.46,75.03,77.75,958.0,72291.0,185320471,3,False
EA,Communication Services,WATCH_BREAKOUT,WATCH_BREAKOUT,201.22,742195.0,2.18,0.66,3.83,18,0.66,42.1,0.64,34.7,종목 -1.2% vs SPY -2.2%,1.8,트리거: 203.85 상향 돌파(20D High),203.85 돌파+거래량 동반 시,SMA50(202.73) 이탈 또는 Stop 198.66,"MACD 완만개선, RSI 42",,현재 Vol 0.66x,201.22,198.66,211.04,162.0,32598.0,662812441,3,False
PGR,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,213.35,1738707.0,2.07,0.76,3.06,43,0.75,65.3,2.39,19.2,종목 5.1% vs SPY -2.2%,27.2,트리거: 214.97 상향 돌파(20D High),214.97 돌파+거래량 동반 시,SMA50(210.87) 이탈 또는 Stop 203.14,"20D high 근접, MACD 완만개선, RSI 65",,현재 Vol 0.75x,213.35,203.14,244.56,40.0,8534.0,673627158,3,False
CARG,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,32.45,39730.0,1.75,0.76,2.6,43,1.0,67.5,4.83,51.5,종목 0.2% vs SPY -2.2%,17.7,트리거: 32.13 상향 돌파(20D High),32.13 돌파+거래량 동반 시,SMA50(33.45) 이탈 또는 Stop 29.32,"20D high 근접, MACD 완만개선, RSI 68",,현재 Vol 1.00x,32.45,29.32,40.6,132.0,4283.0,52491239,3,False
SPOT,Communication Services,WATCH_BREAKOUT,WATCH_BREAKOUT,519.96,1434862.0,1.38,0.72,2.32,18,0.59,61.2,4.91,18.8,종목 2.2% vs SPY -2.2%,33.8,트리거: 517.09 상향 돌파(20D High),517.09 돌파+거래량 동반 시,SMA50(513.53) 이탈 또는 Stop 468.90,"MACD 완만개선, RSI 61",,현재 Vol 0.59x,519.96,468.9,638.56,8.0,4160.0,1991786276,3,False
EPD,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,37.38,1179528.0,1.29,0.76,2.02,43,0.95,70.5,1.97,47.6,종목 12.9% vs SPY -2.2%,0.0,트리거: 37.31 상향 돌파(20D High),37.31 돌파+거래량 동반 시,SMA50(33.86) 이탈 또는 Stop 35.91,"20D high 근접, MACD 완만개선, RSI 71",,현재 Vol 0.95x,37.38,35.91,40.37,281.0,10504.0,197871338,3,False
REG,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,79.76,208267.0,1.37,0.79,2.01,43,0.7,64.1,1.82,56.5,종목 10.8% vs SPY -2.2%,0.2,트리거: 79.90 상향 돌파(20D High),79.90 돌파+거래량 동반 시,SMA50(72.75) 이탈 또는 Stop 76.86,"20D high 근접, MACD 완만개선, RSI 64",,현재 Vol 0.70x,79.76,76.86,85.58,143.0,11406.0,106570867,3,False
CLH,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,297.15,214998.0,1.05,0.68,2.01,33,0.71,73.6,3.2,54.7,종목 13.7% vs SPY -2.2%,0.3,트리거: 297.60 상향 돌파(20D High),297.60 돌파+거래량 동반 시,SMA50(261.38) 이탈 또는 Stop 278.12,"20D high 근접, MACD 완만개선",,현재 Vol 0.71x,297.15,278.12,335.35,21.0,6240.0,163963876,3,False
ODFL,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,207.94,594480.0,1.38,0.79,2.0,43,0.6,61.9,3.81,30.8,종목 11.7% vs SPY -2.2%,0.6,트리거: 209.15 상향 돌파(20D High),209.15 돌파+거래량 동반 시,SMA50(180.13) 이탈 또는 Stop 192.09,"20D high 근접, MACD 완만개선, RSI 62",,현재 Vol 0.60x,207.94,192.09,239.62,26.0,5406.0,539034460,3,False
FRT,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,110.57,133183.0,1.37,0.79,2.0,43,0.53,61.1,2.1,30.5,종목 10.2% vs SPY -2.2%,0.3,트리거: 110.84 상향 돌파(20D High),110.84 돌파+거래량 동반 시,SMA50(103.57) 이탈 또는 Stop 105.93,"20D high 근접, MACD 완만개선, RSI 61",,현재 Vol 0.53x,110.57,105.93,119.86,89.0,9841.0,98620506,3,False
BRX,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,30.64,131467.0,0.93,0.64,2.0,30,0.75,75.5,1.7,79.7,종목 15.6% vs SPY -2.2%,0.2,트리거: 30.71 상향 돌파(20D High),30.71 돌파+거래량 동반 시,SMA50(27.39) 이탈 또는 Stop 29.60,20D high 근접,,현재 Vol 0.75x,30.64,29.6,32.72,398.0,12195.0,100301542,3,False
VZ,Communication Services,WATCH_BREAKOUT,WATCH_BREAKOUT,50.87,3025724.0,1.23,0.75,1.99,40,0.78,70.3,2.07,58.8,종목 14.0% vs SPY -2.2%,0.4,트리거: 50.48 상향 돌파(20D High),50.48 돌파+거래량 동반 시,SMA50(43.57) 이탈 또는 Stop 48.76,"20D high 근접, RSI 70",,현재 Vol 0.78x,50.87,48.76,55.05,197.0,10021.0,1624240684,3,False
