Ticker,Sector,Entry,EntryRaw,Score,Close,MktCap_KRW_T,Avg$Vol,VolRatio,RSI,ATR%,ADX,RS_vs_SPY,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,RR,EV,Prob,Shares,PosValue,P,Promoted
GPN,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,70,81.26,30.0,271639674,2.29,64.5,3.99,45.6,,24.2,트리거: 76.47 상향 돌파(20D High) | 품질: gap_atr_high(3.02),76.47 위 '종가확인' + 거래량 유지 시,SMA50(76.31) 이탈 또는 Stop 74.78,"20D high 근접, Vol 2.3x (강함), MACD 상향크로스, RSI 64",CROSS_UP,현재 Vol 2.29x (BUY 기준 1.5x),,,,,-0.05,0.95,,,3,False
NOC,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,51,724.83,148.2,657151748,1.25,61.9,2.59,19.3,,0.1,트리거: 715.61 상향 돌파(20D High),715.61 돌파+거래량 동반 시,SMA50(629.96) 이탈 또는 Stop 687.33,"20D high 근접, Vol 1.3x (약), MACD 완만개선, RSI 62",,현재 Vol 1.25x,,,,,-0.15,0.85,,,3,False
HOLX,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,51,75.2,24.5,199463201,1.23,53.1,0.35,22.0,,0.2,트리거: 75.36 상향 돌파(20D High),75.36 돌파+거래량 동반 시,SMA50(74.91) 이탈 또는 Stop 74.67,"20D high 근접, Vol 1.2x (약), MACD 완만개선, RSI 53",,현재 Vol 1.23x,,,,,-0.17,0.83,,,3,False
TPH,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,51,46.34,5.9,109654142,2.21,92.3,3.71,38.5,,0.3,트리거: 46.47 상향 돌파(20D High),46.47 돌파+거래량 동반 시,SMA50(34.45) 이탈 또는 Stop 42.90,"20D high 근접, Vol 2.2x (강함), MACD 완만개선",,현재 Vol 2.21x,,,,,-0.13,0.87,,,3,False
FANG,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,48,174.01,70.9,326893603,1.25,66.7,3.21,46.8,,0.1,트리거: 172.80 상향 돌파(20D High),172.80 돌파+거래량 동반 시,SMA50(155.67) 이탈 또는 Stop 162.86,"20D high 근접, Vol 1.2x (약), RSI 67",,현재 Vol 1.25x,,,,,-0.18,0.82,,,3,False
RTX,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,43,204.81,393.1,1308683450,0.97,59.1,2.5,20.7,,0.8,트리거: 206.48 상향 돌파(20D High),206.48 돌파+거래량 동반 시,SMA50(190.61) 이탈 또는 Stop 194.56,"20D high 근접, MACD 완만개선, RSI 59",,현재 Vol 0.97x,,,,,-0.21,0.79,,,3,False
LIN,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,43,485.28,316.1,1264374688,0.9,70.1,2.13,36.0,,0.7,트리거: 488.54 상향 돌파(20D High),488.54 돌파+거래량 동반 시,SMA50(438.98) 이탈 또는 Stop 464.63,"20D high 근접, MACD 완만개선, RSI 70",,현재 Vol 0.90x,,,,,-0.24,0.76,,,3,False
SYK,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,43,377.32,200.6,819827434,1.18,67.1,2.87,18.9,,6.8,트리거: 378.09 상향 돌파(20D High),378.09 돌파+거래량 동반 시,SMA50(358.84) 이탈 또는 Stop 355.63,"20D high 근접, MACD 완만개선, RSI 67",,현재 Vol 1.18x,,,,,-0.21,0.79,,,3,False
WBD,Communication Services,WATCH_BREAKOUT,WATCH_BREAKOUT,43,28.79,99.3,634896083,0.85,60.7,1.88,41.4,,4.0,트리거: 29.01 상향 돌파(20D High),29.01 돌파+거래량 동반 시,SMA50(28.30) 이탈 또는 Stop 27.71,"20D high 근접, MACD 완만개선, RSI 61",,현재 Vol 0.85x,,,,,-0.21,0.79,,,3,False
EOG,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,43,122.27,90.9,604068426,1.04,70.0,2.9,43.3,,10.0,트리거: 122.39 상향 돌파(20D High),122.39 돌파+거래량 동반 시,SMA50(108.85) 이탈 또는 Stop 115.19,"20D high 근접, MACD 완만개선, RSI 70",,현재 Vol 1.04x,,,,,-0.23,0.77,,,3,False
