Ticker,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_SPY,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,P,Promoted
NOK,Technology,BUY_BREAKOUT,BUY_BREAKOUT,7.77,57.9,1.5,0.83,2.0,52,1.66,79.4,3.02,21.7,종목 19.5% vs SPY 0.1%,5.1,20D High 7.61 돌파 + Vol 1.66x (기준 1.5x),7.77 위에서 분할(돌파 유지 시),SMA50(6.67) 이탈 또는 Stop 7.30,"20D high 근접, Vol 1.7x, MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,7.77,7.3,8.71,882.0,6853.0,299884558,0,False
FIVE,Consumer Cyclical,BUY_BREAKOUT,BUY_BREAKOUT,220.09,16.6,1.19,0.75,1.93,27,1.59,76.1,3.84,31.9,종목 15.0% vs SPY 0.1%,2.1,20D High 218.81 돌파 + Vol 1.59x (기준 1.5x),220.09 위에서 분할(돌파 유지 시),SMA50(194.14) 이탈 또는 Stop 203.19,"Vol 1.6x, MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,220.09,203.19,252.66,24.0,5282.0,188671826,0,False
HEI,Industrials,BUY_BREAKOUT,BUY_BREAKOUT,351.66,67.9,1.51,0.89,1.83,62,1.6,68.8,2.62,37.6,종목 3.6% vs SPY 0.1%,2.8,20D High 348.45 돌파 + Vol 1.60x (기준 1.5x),351.66 위에서 분할(돌파 유지 시),SMA50(333.17) 이탈 또는 Stop 333.26,"20D high 근접, Vol 1.6x, MACD 완만개선, RSI 69",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입,351.66,333.26,385.41,22.0,7737.0,151339321,0,False
FANG,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,176.01,70.9,-0.12,0.88,,57,1.67,65.3,2.94,40.9,,0.6,트리거: 177.02 상향 돌파(20D High),177.02 돌파+거래량 동반 시,SMA50(156.36) 이탈 또는 Stop 165.66,"20D high 근접, Vol 1.7x, MACD 완만개선, RSI 65",,현재 Vol 1.67x,,,,,,345750474,3,False
NICE,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,117.69,10.3,-0.17,0.83,,52,0.91,60.5,4.92,29.7,,34.8,트리거: 117.21 상향 돌파(20D High),117.21 돌파+거래량 동반 시,SMA50(111.22) 이탈 또는 Stop 106.11,"20D high 근접, MACD 상향크로스, RSI 61",CROSS_UP,현재 Vol 0.91x,,,,,,122494216,3,False
PAC,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,300.41,21.0,-0.19,0.81,,52,0.6,66.9,2.86,24.6,,0.0,트리거: 295.15 상향 돌파(20D High),295.15 돌파+거래량 동반 시,SMA50(272.16) 이탈 또는 Stop 283.25,"20D high 근접, MACD 상향크로스, RSI 67",CROSS_UP,현재 Vol 0.60x,,,,,,23636713,3,False
RTX,Industrials,WATCH_BREAKOUT,WATCH_BREAKOUT,204.92,393.1,-0.13,0.87,,51,1.49,56.8,2.48,14.2,,0.9,트리거: 206.73 상향 돌파(20D High),206.73 돌파+거래량 동반 시,SMA50(191.97) 이탈 또는 Stop 194.74,"20D high 근접, Vol 1.5x (약), MACD 완만개선, RSI 57",,현재 Vol 1.49x,,,,,,1383214894,3,False
OXY,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,51.84,66.8,-0.17,0.83,,51,1.29,68.6,3.52,34.2,,1.4,트리거: 52.22 상향 돌파(20D High),52.22 돌파+거래량 동반 시,SMA50(43.38) 이탈 또는 Stop 48.19,"20D high 근접, Vol 1.3x (약), MACD 완만개선, RSI 69",,현재 Vol 1.29x,,,,,,597621540,3,False
CNP,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,43.0,40.6,-0.17,0.83,,47,1.74,77.7,1.78,35.8,,0.5,트리거: 43.09 상향 돌파(20D High) | 품질: close_not_confirm(need>43.13),43.09 위 '종가확인' + 거래량 유지 시,SMA50(39.27) 이탈 또는 Stop 41.47,"20D high 근접, Vol 1.7x, MACD 완만개선",,"돌파 품질 미충족: close_not_confirm(need>43.13) (Vol 1.74x, 기준 1.5x)",,,,,,262506415,3,False
TPH,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,46.31,5.9,-0.14,0.86,,47,1.99,94.3,3.5,48.2,,0.3,트리거: 46.47 상향 돌파(20D High),46.47 돌파+거래량 동반 시,SMA50(34.97) 이탈 또는 Stop 43.06,"20D high 근접, Vol 2.0x, MACD 완만개선",,현재 Vol 1.99x,,,,,,130718729,3,False
AMAT,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,375.38,382.4,-0.27,0.73,,43,0.94,68.9,5.03,27.5,,0.5,트리거: 376.32 상향 돌파(20D High),376.32 돌파+거래량 동반 시,SMA50(302.42) 이탈 또는 Stop 337.60,"20D high 근접, MACD 완만개선, RSI 69",,현재 Vol 0.94x,,,,,,2903187837,3,False
TJX,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,158.23,251.7,-0.24,0.76,,43,0.98,70.2,1.83,24.4,,0.8,트리거: 157.32 상향 돌파(20D High),157.32 돌파+거래량 동반 시,SMA50(154.67) 이탈 또는 Stop 152.43,"20D high 근접, MACD 완만개선, RSI 70",,현재 Vol 0.98x,,,,,,878028798,3,False
SYK,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,380.23,200.6,-0.21,0.79,,43,0.81,60.6,2.63,18.8,,6.1,트리거: 378.09 상향 돌파(20D High),378.09 돌파+거래량 동반 시,SMA50(359.54) 이탈 또는 Stop 360.20,"20D high 근접, MACD 완만개선, RSI 61",,현재 Vol 0.81x,,,,,,815099705,3,False
XEL,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,81.55,67.1,-0.24,0.76,,43,0.91,71.1,2.2,21.2,,1.8,트리거: 82.30 상향 돌파(20D High),82.30 돌파+거래량 동반 시,SMA50(75.71) 이탈 또는 Stop 77.96,"20D high 근접, MACD 완만개선, RSI 71",,현재 Vol 0.91x,,,,,,376095855,3,False
SPG,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,201.7,108.7,-0.21,0.79,,43,0.83,64.7,2.18,36.1,,0.6,트리거: 203.00 상향 돌파(20D High),203.00 돌파+거래량 동반 시,SMA50(188.25) 이탈 또는 Stop 192.91,"20D high 근접, MACD 완만개선, RSI 65",,현재 Vol 0.83x,,,,,,331719998,3,False
FE,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,50.2,40.3,-0.24,0.76,,43,0.96,68.4,2.03,36.3,,0.5,트리거: 50.44 상향 돌파(20D High),50.44 돌파+거래량 동반 시,SMA50(46.19) 이탈 또는 Stop 48.16,"20D high 근접, MACD 완만개선, RSI 68",,현재 Vol 0.96x,,,,,,262270804,3,False
CBOE,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,288.68,42.0,-0.24,0.76,,43,0.61,71.8,2.77,18.6,,0.0,트리거: 287.55 상향 돌파(20D High),287.55 돌파+거래량 동반 시,SMA50(263.99) 이탈 또는 Stop 272.68,"20D high 근접, MACD 완만개선, RSI 72",,현재 Vol 0.61x,,,,,,253306793,3,False
AGI,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,47.84,27.8,-0.27,0.73,,43,0.86,69.1,5.81,13.7,,0.5,트리거: 46.66 상향 돌파(20D High),46.66 돌파+거래량 동반 시,SMA50(40.84) 이탈 또는 Stop 42.28,"20D high 근접, MACD 완만개선, RSI 69",,현재 Vol 0.86x,,,,,,218861863,3,False
HOLX,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,75.43,24.5,-0.23,0.77,,43,0.98,64.0,0.36,22.7,,0.1,트리거: 75.36 상향 돌파(20D High),75.36 돌파+거래량 동반 시,SMA50(74.92) 이탈 또는 Stop 74.88,"20D high 근접, MACD 완만개선, RSI 64",,현재 Vol 0.98x,,,,,,208818379,3,False
MPLX,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,58.19,83.4,-0.21,0.79,,43,0.69,63.1,2.18,19.3,,0.6,트리거: 58.27 상향 돌파(20D High),58.27 돌파+거래량 동반 시,SMA50(54.94) 이탈 또는 Stop 55.65,"20D high 근접, MACD 완만개선, RSI 63",,현재 Vol 0.69x,,,,,,118913397,3,False
MKTX,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,181.23,9.8,-0.21,0.79,,43,0.62,65.0,3.31,32.1,,22.2,트리거: 182.45 상향 돌파(20D High),182.45 돌파+거래량 동반 시,SMA50(174.99) 이탈 또는 Stop 169.23,"20D high 근접, MACD 완만개선, RSI 65",,현재 Vol 0.62x,,,,,,104138469,3,False
FOLD,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,14.34,6.6,-0.23,0.77,,43,0.69,64.7,0.26,30.8,,0.3,트리거: 14.36 상향 돌파(20D High),14.36 돌파+거래량 동반 시,SMA50(13.68) 이탈 또는 Stop 14.26,"20D high 근접, MACD 완만개선, RSI 65",,현재 Vol 0.69x,,,,,,96253562,3,False
NSA,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,35.85,7.2,-0.24,0.76,,41,1.43,84.4,2.49,32.3,,11.7,트리거: 34.67 상향 돌파(20D High),34.67 돌파+거래량 동반 시,SMA50(31.11) 이탈 또는 Stop 34.07,"20D high 근접, Vol 1.4x (약), MACD 완만개선",,현재 Vol 1.43x,,,,,,49938582,3,False
TRV,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,304.93,98.5,-0.25,0.75,,40,0.78,70.9,2.17,45.1,,0.0,트리거: 304.40 상향 돌파(20D High),304.40 돌파+거래량 동반 시,SMA50(287.37) 이탈 또는 Stop 291.71,"20D high 근접, RSI 71",,현재 Vol 0.78x,,,,,,507534696,3,False
PLD,Real Estate,WATCH_BREAKOUT,WATCH_BREAKOUT,141.51,189.0,-0.25,0.75,,40,0.72,70.8,2.14,42.9,,0.3,트리거: 141.95 상향 돌파(20D High),141.95 돌파+거래량 동반 시,SMA50(131.39) 이탈 또는 Stop 135.44,"20D high 근접, RSI 71",,현재 Vol 0.72x,,,,,,447422553,3,False
CHD,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,103.08,35.3,-0.25,0.75,,40,0.69,71.9,2.29,69.3,,11.5,트리거: 103.55 상향 돌파(20D High),103.55 돌파+거래량 동반 시,SMA50(90.94) 이탈 또는 Stop 98.36,"20D high 근접, RSI 72",,현재 Vol 0.69x,,,,,,246944003,3,False
FLIN,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,38.08,,-0.22,0.78,,40,0.85,61.3,1.22,21.0,,5.0,트리거: 38.37 상향 돌파(20D High),38.37 돌파+거래량 동반 시,SMA50(37.96) 이탈 또는 Stop 37.15,"20D high 근접, RSI 61",,현재 Vol 0.85x,,,,,,40311866,3,False
AG,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,27.55,16.5,-0.24,0.76,,35,1.23,67.5,6.96,15.8,,1.3,트리거: 27.90 상향 돌파(20D High),27.90 돌파+거래량 동반 시,SMA50(20.22) 이탈 또는 Stop 23.71,"Vol 1.2x (약), MACD 상향크로스, RSI 67",CROSS_UP,현재 Vol 1.23x,,,,,,706850308,3,False
LIN,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,496.51,316.1,-0.3,0.7,,33,1.14,72.0,2.15,38.4,,0.4,트리거: 490.55 상향 돌파(20D High),490.55 돌파+거래량 동반 시,SMA50(442.94) 이탈 또는 Stop 475.14,"20D high 근접, MACD 완만개선",,현재 Vol 1.14x,,,,,,1312009084,3,False
KO,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,79.84,497.9,-0.34,0.66,,30,0.85,72.0,1.82,61.7,,0.7,트리거: 80.41 상향 돌파(20D High),80.41 돌파+거래량 동반 시,SMA50(72.82) 이탈 또는 Stop 76.94,20D high 근접,,현재 Vol 0.85x,,,,,,1556970790,3,False
