Ticker,SignalDate,EntryDate,EntryPrice,Status,DaysHeld,ExitDate,ExitPrice,ReturnPct,ExitReason,LastBarDate,StopPrice
NAN,,,,nan,0,,,,,,
DLTR,2026-02-12,2026-02-12,128.43,OPEN,4,,,,,2026-02-20,
AVGO,2026-02-09,2026-02-09,343.94,OPEN,8,,,,,2026-02-20,
AIG,2026-02-11,2026-02-11,78.44,OPEN,5,,,,,2026-02-20,
NRG,2026-02-13,2026-02-13,172.35,OPEN,4,,,,,2026-02-20,
GRMN,2026-02-13,2026-02-13,214.74,OPEN,4,,,,,2026-02-20,
ETR,2026-02-13,2026-02-13,105.07,OPEN,4,,,,,2026-02-20,
FLS,2026-02-13,2026-02-13,89.69,OPEN,4,,,,,2026-02-20,
AKAM,2026-02-13,2026-02-13,111.76,OPEN,4,,,,,2026-02-20,
HEI,2026-02-20 00:00:00,2026-02-20 00:00:00,351.6600036621094,OPEN,1,,,,,2026-02-20,
NOK,2026-02-20 00:00:00,2026-02-20 00:00:00,7.769999980926514,OPEN,1,,,,,2026-02-20,
FIVE,2026-02-20 00:00:00,2026-02-20 00:00:00,220.08999633789065,OPEN,1,,,,,2026-02-20,
